venta_producto_id,venta_id,producto_id,producto_nombre,categoria,talle,color,cantidad,precio_unitario,descuento_item,subtotal_item,total_item
VPI00001,VTA0001,PROD043,Top Deportivo,tops,M,Negro,1,21000,1000,21000,20000
VPI00002,VTA0001,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00003,VTA0002,PROD020,Calza Training,calzas,L,Gris,1,33000,1500,33000,31500
VPI00004,VTA0002,PROD019,Calza Training,calzas,L,Negro,1,35700,3000,35700,32700
VPI00005,VTA0002,PROD014,Calza Training,calzas,S,Gris,1,34100,3000,34100,31100
VPI00006,VTA0003,PROD049,Buzo Oversize,buzos,M,Blanco,1,52100,0,52100,52100
VPI00007,VTA0003,PROD016,Calza Training,calzas,M,Negro,1,31400,0,31400,31400
VPI00008,VTA0003,PROD044,Top Deportivo,tops,M,Rosa,1,21400,3000,21400,18400
VPI00009,VTA0004,PROD016,Calza Training,calzas,M,Negro,1,31400,0,31400,31400
VPI00010,VTA0004,PROD010,Remera Dry-Fit,remeras,XL,Negro,2,17800,0,35600,35600
VPI00011,VTA0005,PROD008,Remera Dry-Fit,remeras,L,Azul,2,17800,1500,35600,34100
VPI00012,VTA0005,PROD030,Campera Running,camperas,L,Verde,3,54500,3000,163500,160500
VPI00013,VTA0005,PROD009,Remera Dry-Fit,remeras,L,Blanco,1,17300,2000,17300,15300
VPI00014,VTA0006,PROD034,Short Deportivo,shorts,L,Gris,1,24300,1000,24300,23300
VPI00015,VTA0006,PROD032,Short Deportivo,shorts,M,Negro,1,25300,1000,25300,24300
VPI00016,VTA0007,PROD015,Calza Training,calzas,S,Violeta,1,34400,0,34400,34400
VPI00017,VTA0008,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00018,VTA0009,PROD048,Top Deportivo,tops,L,Blanco,2,24200,0,48400,48400
VPI00019,VTA0009,PROD035,Short Deportivo,shorts,L,Negro,1,25300,1000,25300,24300
VPI00020,VTA0010,PROD055,Buzo Oversize,buzos,XL,Blanco,2,48300,0,96600,96600
VPI00021,VTA0010,PROD030,Campera Running,camperas,L,Verde,2,54500,0,109000,109000
VPI00022,VTA0011,PROD021,Calza Training,calzas,L,Violeta,1,32500,2000,32500,30500
VPI00023,VTA0012,PROD023,Campera Running,camperas,S,Azul,2,53700,0,107400,107400
VPI00024,VTA0012,PROD015,Calza Training,calzas,S,Violeta,2,34400,0,68800,68800
VPI00025,VTA0012,PROD042,Top Deportivo,tops,S,Blanco,1,23000,0,23000,23000
VPI00026,VTA0012,PROD005,Remera Dry-Fit,remeras,M,Azul,1,19300,0,19300,19300
VPI00027,VTA0013,PROD011,Remera Dry-Fit,remeras,XL,Azul,1,19300,0,19300,19300
VPI00028,VTA0013,PROD039,Short Deportivo,shorts,XL,Azul,2,24900,0,49800,49800
VPI00029,VTA0014,PROD046,Top Deportivo,tops,L,Negro,1,24200,0,24200,24200
VPI00030,VTA0015,PROD042,Top Deportivo,tops,S,Blanco,1,23000,2000,23000,21000
VPI00031,VTA0016,PROD047,Top Deportivo,tops,L,Rosa,1,24400,1000,24400,23400
VPI00032,VTA0017,PROD029,Campera Running,camperas,L,Azul,1,57500,3000,57500,54500
VPI00033,VTA0018,PROD023,Campera Running,camperas,S,Azul,1,53700,1000,53700,52700
VPI00034,VTA0018,PROD052,Buzo Oversize,buzos,L,Blanco,2,52300,1000,104600,103600
VPI00035,VTA0019,PROD042,Top Deportivo,tops,S,Blanco,1,23000,0,23000,23000
VPI00036,VTA0019,PROD046,Top Deportivo,tops,L,Negro,1,24200,0,24200,24200
VPI00037,VTA0020,PROD048,Top Deportivo,tops,L,Blanco,1,24200,1500,24200,22700
VPI00038,VTA0021,PROD035,Short Deportivo,shorts,L,Negro,3,25300,0,75900,75900
VPI00039,VTA0022,PROD019,Calza Training,calzas,L,Negro,2,35700,1000,71400,70400
VPI00040,VTA0022,PROD007,Remera Dry-Fit,remeras,L,Negro,1,17300,0,17300,17300
VPI00041,VTA0023,PROD045,Top Deportivo,tops,M,Blanco,1,23500,3000,23500,20500
VPI00042,VTA0023,PROD009,Remera Dry-Fit,remeras,L,Blanco,1,17300,0,17300,17300
VPI00043,VTA0024,PROD059,Zapatilla Running,zapatillas,39,Azul,1,83500,0,83500,83500
VPI00044,VTA0025,PROD020,Calza Training,calzas,L,Gris,1,33000,2000,33000,31000
VPI00045,VTA0025,PROD006,Remera Dry-Fit,remeras,M,Blanco,1,18400,0,18400,18400
VPI00046,VTA0025,PROD016,Calza Training,calzas,M,Negro,2,31400,2000,62800,60800
VPI00047,VTA0026,PROD004,Remera Dry-Fit,remeras,M,Negro,3,18700,0,56100,56100
VPI00048,VTA0026,PROD040,Top Deportivo,tops,S,Negro,2,24000,0,48000,48000
VPI00049,VTA0027,PROD027,Campera Running,camperas,M,Verde,1,56000,3000,56000,53000
VPI00050,VTA0028,PROD015,Calza Training,calzas,S,Violeta,2,34400,0,68800,68800
VPI00051,VTA0029,PROD011,Remera Dry-Fit,remeras,XL,Azul,2,19300,1000,38600,37600
VPI00052,VTA0030,PROD006,Remera Dry-Fit,remeras,M,Blanco,1,18400,2000,18400,16400
VPI00053,VTA0030,PROD039,Short Deportivo,shorts,XL,Azul,1,24900,1000,24900,23900
VPI00054,VTA0031,PROD042,Top Deportivo,tops,S,Blanco,1,23000,1000,23000,22000
VPI00055,VTA0032,PROD022,Campera Running,camperas,S,Negro,1,54900,0,54900,54900
VPI00056,VTA0033,PROD036,Short Deportivo,shorts,L,Azul,1,25500,1000,25500,24500
VPI00057,VTA0033,PROD003,Remera Dry-Fit,remeras,S,Blanco,1,17500,2000,17500,15500
VPI00058,VTA0033,PROD030,Campera Running,camperas,L,Verde,2,54500,0,109000,109000
VPI00059,VTA0034,PROD049,Buzo Oversize,buzos,M,Blanco,1,52100,0,52100,52100
VPI00060,VTA0034,PROD004,Remera Dry-Fit,remeras,M,Negro,2,18700,3000,37400,34400
VPI00061,VTA0035,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,0,17800,17800
VPI00062,VTA0036,PROD018,Calza Training,calzas,M,Violeta,2,30900,3000,61800,58800
VPI00063,VTA0036,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00064,VTA0037,PROD051,Buzo Oversize,buzos,M,Negro,2,47400,1500,94800,93300
VPI00065,VTA0038,PROD029,Campera Running,camperas,L,Azul,1,57500,2000,57500,55500
VPI00066,VTA0038,PROD035,Short Deportivo,shorts,L,Negro,1,25300,1500,25300,23800
VPI00067,VTA0038,PROD031,Short Deportivo,shorts,M,Gris,2,24700,0,49400,49400
VPI00068,VTA0039,PROD043,Top Deportivo,tops,M,Negro,2,21000,0,42000,42000
VPI00069,VTA0040,PROD059,Zapatilla Running,zapatillas,39,Azul,1,83500,3000,83500,80500
VPI00070,VTA0040,PROD056,Buzo Oversize,buzos,XL,Gris,1,53500,0,53500,53500
VPI00071,VTA0040,PROD029,Campera Running,camperas,L,Azul,1,57500,0,57500,57500
VPI00072,VTA0041,PROD056,Buzo Oversize,buzos,XL,Gris,1,53500,1500,53500,52000
VPI00073,VTA0041,PROD044,Top Deportivo,tops,M,Rosa,1,21400,3000,21400,18400
VPI00074,VTA0041,PROD035,Short Deportivo,shorts,L,Negro,2,25300,0,50600,50600
VPI00075,VTA0042,PROD028,Campera Running,camperas,L,Negro,2,57800,0,115600,115600
VPI00076,VTA0042,PROD007,Remera Dry-Fit,remeras,L,Negro,1,17300,1000,17300,16300
VPI00077,VTA0043,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00078,VTA0044,PROD038,Short Deportivo,shorts,XL,Negro,1,23900,1000,23900,22900
VPI00079,VTA0044,PROD010,Remera Dry-Fit,remeras,XL,Negro,1,17800,0,17800,17800
VPI00080,VTA0045,PROD020,Calza Training,calzas,L,Gris,1,33000,1000,33000,32000
VPI00081,VTA0045,PROD041,Top Deportivo,tops,S,Rosa,1,23300,2000,23300,21300
VPI00082,VTA0045,PROD028,Campera Running,camperas,L,Negro,2,57800,0,115600,115600
VPI00083,VTA0045,PROD045,Top Deportivo,tops,M,Blanco,1,23500,1500,23500,22000
VPI00084,VTA0046,PROD048,Top Deportivo,tops,L,Blanco,2,24200,1000,48400,47400
VPI00085,VTA0046,PROD032,Short Deportivo,shorts,M,Negro,2,25300,0,50600,50600
VPI00086,VTA0046,PROD055,Buzo Oversize,buzos,XL,Blanco,1,48300,1500,48300,46800
VPI00087,VTA0047,PROD041,Top Deportivo,tops,S,Rosa,1,23300,3000,23300,20300
VPI00088,VTA0047,PROD042,Top Deportivo,tops,S,Blanco,1,23000,1500,23000,21500
VPI00089,VTA0048,PROD024,Campera Running,camperas,S,Verde,1,59200,1000,59200,58200
VPI00090,VTA0048,PROD034,Short Deportivo,shorts,L,Gris,2,24300,1000,48600,47600
VPI00091,VTA0049,PROD047,Top Deportivo,tops,L,Rosa,3,24400,1500,73200,71700
VPI00092,VTA0049,PROD044,Top Deportivo,tops,M,Rosa,1,21400,2000,21400,19400
VPI00093,VTA0049,PROD026,Campera Running,camperas,M,Azul,1,60200,0,60200,60200
VPI00094,VTA0050,PROD015,Calza Training,calzas,S,Violeta,1,34400,1500,34400,32900
VPI00095,VTA0051,PROD008,Remera Dry-Fit,remeras,L,Azul,1,17800,0,17800,17800
VPI00096,VTA0051,PROD009,Remera Dry-Fit,remeras,L,Blanco,1,17300,3000,17300,14300
VPI00097,VTA0052,PROD048,Top Deportivo,tops,L,Blanco,1,24200,2000,24200,22200
VPI00098,VTA0053,PROD024,Campera Running,camperas,S,Verde,1,59200,3000,59200,56200
VPI00099,VTA0054,PROD018,Calza Training,calzas,M,Violeta,1,30900,0,30900,30900
VPI00100,VTA0055,PROD022,Campera Running,camperas,S,Negro,1,54900,0,54900,54900
VPI00101,VTA0056,PROD010,Remera Dry-Fit,remeras,XL,Negro,2,17800,0,35600,35600
VPI00102,VTA0057,PROD023,Campera Running,camperas,S,Azul,2,53700,0,107400,107400
VPI00103,VTA0058,PROD005,Remera Dry-Fit,remeras,M,Azul,1,19300,1500,19300,17800
VPI00104,VTA0059,PROD059,Zapatilla Running,zapatillas,39,Azul,1,83500,3000,83500,80500
VPI00105,VTA0059,PROD043,Top Deportivo,tops,M,Negro,1,21000,0,21000,21000
VPI00106,VTA0060,PROD006,Remera Dry-Fit,remeras,M,Blanco,1,18400,0,18400,18400
VPI00107,VTA0061,PROD039,Short Deportivo,shorts,XL,Azul,1,24900,3000,24900,21900
VPI00108,VTA0062,PROD014,Calza Training,calzas,S,Gris,1,34100,0,34100,34100
VPI00109,VTA0062,PROD028,Campera Running,camperas,L,Negro,1,57800,3000,57800,54800
VPI00110,VTA0063,PROD031,Short Deportivo,shorts,M,Gris,1,24700,0,24700,24700
VPI00111,VTA0063,PROD005,Remera Dry-Fit,remeras,M,Azul,1,19300,0,19300,19300
VPI00112,VTA0064,PROD027,Campera Running,camperas,M,Verde,2,56000,2000,112000,110000
VPI00113,VTA0064,PROD023,Campera Running,camperas,S,Azul,2,53700,0,107400,107400
VPI00114,VTA0065,PROD007,Remera Dry-Fit,remeras,L,Negro,1,17300,1500,17300,15800
VPI00115,VTA0066,PROD042,Top Deportivo,tops,S,Blanco,1,23000,1000,23000,22000
VPI00116,VTA0066,PROD036,Short Deportivo,shorts,L,Azul,1,25500,1000,25500,24500
