producto_id,nombre,categoria,marca,genero_linea,talle,color,estado,precio_venta,costo_estimado,margen_bruto,margen_porcentaje,stock_fisico,stock_reservado,stock_disponible,stock_minimo,alerta_stock
PROD001,Remera Dry-Fit,remeras,Sportiva,Unisex,S,Negro,Activo,17800,9400,8400,47.19,36,0,36,2,Stock normal
PROD002,Remera Dry-Fit,remeras,Sportiva,Unisex,S,Azul,Activo,19300,10200,9100,47.15,34,1,33,8,Stock normal
PROD003,Remera Dry-Fit,remeras,Sportiva,Unisex,S,Blanco,Activo,17500,9700,7800,44.57,35,2,33,3,Stock normal
PROD004,Remera Dry-Fit,remeras,Sportiva,Unisex,M,Negro,Activo,18700,9900,8800,47.06,13,1,12,6,Stock normal
PROD005,Remera Dry-Fit,remeras,Sportiva,Unisex,M,Azul,Activo,19300,9600,9700,50.26,42,2,40,7,Stock normal
PROD006,Remera Dry-Fit,remeras,Sportiva,Unisex,M,Blanco,Activo,18400,9800,8600,46.74,7,1,6,3,Stock normal
PROD007,Remera Dry-Fit,remeras,Sportiva,Unisex,L,Negro,Activo,17300,9100,8200,47.4,35,4,31,3,Stock normal
PROD008,Remera Dry-Fit,remeras,Sportiva,Unisex,L,Azul,Activo,17800,9100,8700,48.88,40,1,39,2,Stock normal
PROD009,Remera Dry-Fit,remeras,Sportiva,Unisex,L,Blanco,Activo,17300,9100,8200,47.4,21,4,17,2,Stock normal
PROD010,Remera Dry-Fit,remeras,Sportiva,Unisex,XL,Negro,Activo,17800,10000,7800,43.82,13,1,12,6,Stock normal
PROD011,Remera Dry-Fit,remeras,Sportiva,Unisex,XL,Azul,Activo,19300,10300,9000,46.63,36,1,35,5,Stock normal
PROD012,Remera Dry-Fit,remeras,Sportiva,Unisex,XL,Blanco,Activo,19500,10200,9300,47.69,12,0,12,2,Stock normal
PROD013,Calza Training,calzas,MoveFit,Mujer,S,Negro,Activo,34000,18100,15900,46.76,26,0,26,5,Stock normal
PROD014,Calza Training,calzas,MoveFit,Mujer,S,Gris,Activo,34100,19800,14300,41.94,6,3,3,2,Stock normal
PROD015,Calza Training,calzas,MoveFit,Mujer,S,Violeta,Activo,34400,19300,15100,43.9,6,1,5,3,Stock normal
PROD016,Calza Training,calzas,MoveFit,Mujer,M,Negro,Activo,31400,18300,13100,41.72,27,2,25,3,Stock normal
PROD017,Calza Training,calzas,MoveFit,Mujer,M,Gris,Activo,32900,19500,13400,40.73,4,4,0,5,Sin stock
PROD018,Calza Training,calzas,MoveFit,Mujer,M,Violeta,Activo,30900,18900,12000,38.83,34,0,34,8,Stock normal
PROD019,Calza Training,calzas,MoveFit,Mujer,L,Negro,Activo,35700,19600,16100,45.1,15,3,12,3,Stock normal
PROD020,Calza Training,calzas,MoveFit,Mujer,L,Gris,Activo,33000,17700,15300,46.36,25,1,24,2,Stock normal
PROD021,Calza Training,calzas,MoveFit,Mujer,L,Violeta,Activo,32500,19800,12700,39.08,16,3,13,8,Stock normal
PROD022,Campera Running,camperas,RunPro,Unisex,S,Negro,Activo,54900,35900,19000,34.61,35,3,32,7,Stock normal
PROD023,Campera Running,camperas,RunPro,Unisex,S,Azul,Activo,53700,33800,19900,37.06,3,0,3,6,Bajo stock
PROD024,Campera Running,camperas,RunPro,Unisex,S,Verde,Activo,59200,32600,26600,44.93,37,4,33,5,Stock normal
PROD025,Campera Running,camperas,RunPro,Unisex,M,Negro,Activo,60800,35000,25800,42.43,3,0,3,6,Bajo stock
PROD026,Campera Running,camperas,RunPro,Unisex,M,Azul,Activo,60200,32600,27600,45.85,4,1,3,7,Bajo stock
PROD027,Campera Running,camperas,RunPro,Unisex,M,Verde,Activo,56000,37100,18900,33.75,36,4,32,3,Stock normal
PROD028,Campera Running,camperas,RunPro,Unisex,L,Negro,Activo,57800,35500,22300,38.58,26,4,22,7,Stock normal
PROD029,Campera Running,camperas,RunPro,Unisex,L,Azul,Activo,57500,33900,23600,41.04,16,2,14,3,Stock normal
PROD030,Campera Running,camperas,RunPro,Unisex,L,Verde,Activo,54500,34300,20200,37.06,42,2,40,7,Stock normal
PROD031,Short Deportivo,shorts,MoveFit,Hombre,M,Gris,Activo,24700,14200,10500,42.51,4,3,1,2,Bajo stock
PROD032,Short Deportivo,shorts,MoveFit,Hombre,M,Negro,Activo,25300,13400,11900,47.04,6,4,2,2,Bajo stock
PROD033,Short Deportivo,shorts,MoveFit,Hombre,M,Azul,Activo,23700,12900,10800,45.57,22,1,21,2,Stock normal
PROD034,Short Deportivo,shorts,MoveFit,Hombre,L,Gris,Activo,24300,12700,11600,47.74,34,2,32,7,Stock normal
PROD035,Short Deportivo,shorts,MoveFit,Hombre,L,Negro,Activo,25300,14300,11000,43.48,41,0,41,6,Stock normal
PROD036,Short Deportivo,shorts,MoveFit,Hombre,L,Azul,Activo,25500,13400,12100,47.45,42,1,41,2,Stock normal
PROD037,Short Deportivo,shorts,MoveFit,Hombre,XL,Gris,Activo,23900,14100,9800,41.0,35,2,33,3,Stock normal
PROD038,Short Deportivo,shorts,MoveFit,Hombre,XL,Negro,Activo,23900,12800,11100,46.44,21,2,19,3,Stock normal
PROD039,Short Deportivo,shorts,MoveFit,Hombre,XL,Azul,Activo,24900,12800,12100,48.59,3,3,0,2,Sin stock
PROD040,Top Deportivo,tops,MoveFit,Mujer,S,Negro,Activo,24000,11500,12500,52.08,21,1,20,8,Stock normal
PROD041,Top Deportivo,tops,MoveFit,Mujer,S,Rosa,Activo,23300,11900,11400,48.93,28,3,25,6,Stock normal
PROD042,Top Deportivo,tops,MoveFit,Mujer,S,Blanco,Activo,23000,11600,11400,49.57,44,4,40,3,Stock normal
PROD043,Top Deportivo,tops,MoveFit,Mujer,M,Negro,Activo,21000,12100,8900,42.38,35,3,32,3,Stock normal
